,20150917,20060814,20141204,20101206,20130502,19850808,20150226,19840926,19890218,20060420
12875-80-1,"['19970917', 120217, 463565, 98.62, 46.126, 97.057]","['20010824', 105931, 403595, 98.839, 42.826, 97.55]","['20121204', 94419, 369165, 98.851, 40.965, 97.609]","['20111207', 129427, 503099, 98.553, 48.727, 96.994]","['19910501', 89219, 343162, 99.148, 38.795, 98.201]","['19860802', 62916, 240513, 98.624, 31.12, 97.127]","['19910210', 101265, 395780, 98.885, 41.593, 97.565]","['19811001', 67574, 258754, 98.645, 32.71, 97.171]","['19900210', 60652, 232273, 98.861, 29.484, 97.512]","['20010420', 93801, 368872, 98.998, 40.314, 97.854]"
12875-95-1,"['19970917', 120217, 463565, 98.62, 46.126, 97.057]","['20010824', 105931, 403595, 98.839, 42.826, 97.55]","['20121204', 94419, 369165, 98.851, 40.965, 97.609]","['20111207', 129427, 503099, 98.553, 48.727, 96.994]","['19910501', 89219, 343162, 99.148, 38.795, 98.201]","['19860802', 62916, 240513, 98.624, 31.12, 97.127]","['19910210', 101265, 395780, 98.885, 41.593, 97.565]","['19811001', 67574, 258754, 98.645, 32.71, 97.171]","['19900210', 60652, 232273, 98.861, 29.484, 97.512]","['20010420', 93801, 368872, 98.998, 40.314, 97.854]"
12875-99-1,"['19970917', 120217, 463565, 98.62, 46.126, 97.057]","['20010824', 105931, 403595, 98.839, 42.826, 97.55]","['20121204', 94419, 369165, 98.851, 40.965, 97.609]","['20111207', 129427, 503099, 98.553, 48.727, 96.994]","['19910501', 89219, 343162, 99.148, 38.795, 98.201]","['19860802', 62916, 240513, 98.624, 31.12, 97.127]","['19910210', 101265, 395780, 98.885, 41.593, 97.565]","['19811001', 67574, 258754, 98.645, 32.71, 97.171]","['19900210', 60652, 232273, 98.861, 29.484, 97.512]","['20010420', 93801, 368872, 98.998, 40.314, 97.854]"
12875-80-1,"['19970917', 120217, 463565, 98.62, 46.126, 97.057]","['20010824', 105931, 403595, 98.839, 42.826, 97.55]","['20121204', 94419, 369165, 98.851, 40.965, 97.609]","['20111207', 129427, 503099, 98.553, 48.727, 96.994]","['19910501', 89219, 343162, 99.148, 38.795, 98.201]","['19860802', 62916, 240513, 98.624, 31.12, 97.127]","['19910210', 101265, 395780, 98.885, 41.593, 97.565]","['19811001', 67574, 258754, 98.645, 32.71, 97.171]","['19900210', 60652, 232273, 98.861, 29.484, 97.512]","['20010420', 93801, 368872, 98.998, 40.314, 97.854]"
12875-95-1,"['19970917', 120217, 463565, 98.62, 46.126, 97.057]","['20010824', 105931, 403595, 98.839, 42.826, 97.55]","['20121204', 94419, 369165, 98.851, 40.965, 97.609]","['20111207', 129427, 503099, 98.553, 48.727, 96.994]","['19910501', 89219, 343162, 99.148, 38.795, 98.201]","['19860802', 62916, 240513, 98.624, 31.12, 97.127]","['19910210', 101265, 395780, 98.885, 41.593, 97.565]","['19811001', 67574, 258754, 98.645, 32.71, 97.171]","['19900210', 60652, 232273, 98.861, 29.484, 97.512]","['20010420', 93801, 368872, 98.998, 40.314, 97.854]"
12875-99-1,"['19970917', 120217, 463565, 98.62, 46.126, 97.057]","['20010824', 105931, 403595, 98.839, 42.826, 97.55]","['20121204', 94419, 369165, 98.851, 40.965, 97.609]","['20111207', 129427, 503099, 98.553, 48.727, 96.994]","['19910501', 89219, 343162, 99.148, 38.795, 98.201]","['19860802', 62916, 240513, 98.624, 31.12, 97.127]","['19910210', 101265, 395780, 98.885, 41.593, 97.565]","['19811001', 67574, 258754, 98.645, 32.71, 97.171]","['19900210', 60652, 232273, 98.861, 29.484, 97.512]","['20010420', 93801, 368872, 98.998, 40.314, 97.854]"
12875-80-1,"['19970917', 120217, 463565, 98.62, 46.126, 97.057]","['20010824', 105931, 403595, 98.839, 42.826, 97.55]","['20121204', 94419, 369165, 98.851, 40.965, 97.609]","['20111207', 129427, 503099, 98.553, 48.727, 96.994]","['19910501', 89219, 343162, 99.148, 38.795, 98.201]","['19860802', 62916, 240513, 98.624, 31.12, 97.127]","['19910210', 101265, 395780, 98.885, 41.593, 97.565]","['19811001', 67574, 258754, 98.645, 32.71, 97.171]","['19900210', 60652, 232273, 98.861, 29.484, 97.512]","['20010420', 93801, 368872, 98.998, 40.314, 97.854]"
12875-95-1,"['19970917', 120217, 463565, 98.62, 46.126, 97.057]","['20010824', 105931, 403595, 98.839, 42.826, 97.55]","['20121204', 94419, 369165, 98.851, 40.965, 97.609]","['20111207', 129427, 503099, 98.553, 48.727, 96.994]","['19910501', 89219, 343162, 99.148, 38.795, 98.201]","['19860802', 62916, 240513, 98.624, 31.12, 97.127]","['19910210', 101265, 395780, 98.885, 41.593, 97.565]","['19811001', 67574, 258754, 98.645, 32.71, 97.171]","['19900210', 60652, 232273, 98.861, 29.484, 97.512]","['20010420', 93801, 368872, 98.998, 40.314, 97.854]"
12875-99-1,"['19970917', 120217, 463565, 98.62, 46.126, 97.057]","['20010824', 105931, 403595, 98.839, 42.826, 97.55]","['20121204', 94419, 369165, 98.851, 40.965, 97.609]","['20111207', 129427, 503099, 98.553, 48.727, 96.994]","['19910501', 89219, 343162, 99.148, 38.795, 98.201]","['19860802', 62916, 240513, 98.624, 31.12, 97.127]","['19910210', 101265, 395780, 98.885, 41.593, 97.565]","['19811001', 67574, 258754, 98.645, 32.71, 97.171]","['19900210', 60652, 232273, 98.861, 29.484, 97.512]","['20010420', 93801, 368872, 98.998, 40.314, 97.854]"
12875-80-1,"['20090910', 142863, 552107, 98.662, 50.397, 97.14]","['20080810', 110941, 426860, 98.703, 44.258, 97.266]","['20091203', 130159, 512744, 98.694, 49.164, 97.289]","['20011206', 136427, 533010, 98.919, 50.079, 97.755]","['19900503', 97827, 375910, 99.053, 40.967, 97.995]","['19880803', 70448, 269386, 98.759, 33.586, 97.411]","['20030218', 125122, 493183, 98.895, 47.034, 97.587]","['19880930', 75297, 290008, 98.494, 35.324, 96.858]","['19900309', 79611, 309025, 98.998, 35.744, 97.816]","['19950418', 98181, 386192, 98.983, 41.388, 97.821]"
12875-95-1,"['19970912', 122643, 468102, 98.623, 46.378, 97.064]","['20080809', 110622, 425152, 98.671, 44.176, 97.2]","['20121204', 94419, 369165, 98.851, 40.965, 97.609]","['20111208', 129529, 503271, 98.544, 48.734, 96.974]","['19910501', 89219, 343162, 99.148, 38.795, 98.201]","['19860802', 62916, 240513, 98.624, 31.12, 97.127]","['20030215', 120965, 476329, 98.931, 46.161, 97.666]","['19901001', 76350, 292788, 98.548, 35.377, 96.949]","['20080220', 73615, 285771, 98.724, 34.021, 97.216]","['20010423', 95589, 376471, 98.939, 40.84, 97.73]"
12875-99-1,"['19970912', 122643, 468102, 98.623, 46.378, 97.064]","['20080809', 110622, 425152, 98.671, 44.176, 97.2]","['20121204', 94419, 369165, 98.851, 40.965, 97.609]","['20111208', 129529, 503271, 98.544, 48.734, 96.974]","['19910501', 89219, 343162, 99.148, 38.795, 98.201]","['19860802', 62916, 240513, 98.624, 31.12, 97.127]","['20030215', 120965, 476329, 98.931, 46.161, 97.666]","['19901001', 76350, 292788, 98.548, 35.377, 96.949]","['20080220', 73615, 285771, 98.724, 34.021, 97.216]","['20010423', 95589, 376471, 98.939, 40.84, 97.73]"
